,Subject,Content
17,CNN Belief Biog. Prothero,http religion b ogs cnn com my take a deadlv link between islamic and anti islam c extremists Editor s Note Stephen Prothero a Boston University religion scholar and author of The American Bible How Our Words Unite Divide and Define a Nation is a regular CNN Belief Blog contributor By Stephen Prothero to CNN What should we make of the attacks on the U S consulates in Egypt Libya and Yemen and the deaths of four Americans including U S ambassador to Libya Chris It depends on who you mean by we From the perspective of those who stormed the embassies taking down the American flag in Egypt and replacing it with a black flag reading There is no God but Allah and Mohammed is his messenger theirs was an act of justice on of the One True Faith The Americans had it coming according to this view because Americans are on the wrong side in the clash of civilizations between the Judeo Christian West and the Muslim world And the creation of an anti Islamic video ironically entitled Innocence of Muslims by a producer thought to be an American provided the catalyst or excuse for the protests Why Muslims are sensitive about portraying the Prophet Mohammed Most Americans operate by a different we From our perspective the assault was an unjust and cowardly attack on among other things the rule of law the institution of diplomacy and the right of free speech Libyan Deputy Prime Minister Mustafa Abushagur gave voice to this perspective when he said on Twitter I condemn these barbaric attacks in the strongest possible terms This is an attack on America Libya and free people everywhere Some have sought to justify this vicious behavior as a response to inflammatory material posted on the Internet Secretary of State Hillary Clinton added The United States deplores any intentional effort to denigrate the religious beliefs of others Our commitment to religious tolerance goes back to the very beginning of our nation In a commencement speech at Kenyon College in later published as This Is Water novelist Foster Wallace urged student to scrutinize the natural basic self centeredness that puts me at the center of the world This unconscious default setting fosters the sort of blind certainty that manifests as arrogant atheism and fundamentalism alike Wallace said And the point of education is to shake us out of that default setting to begin to see things from the perspectives of others Follow the CNN Belief Blog on Twitter U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER Wallace focused in his speech on the individual I But his critique can be applied as well to another default setting this one more cultural than natural our tendency to understand the world from the perspective of Give According to those who stormed the embassies Innocence of Muslims was not made by an individual whoever the shadowy Sam Bacile may or may not be It was made by anAmerican Moreover according to this groupthink Americans as a group are responsible for the sins of individual Americans so it makes perfect sense to strike out at embassy personnel who issued a statement before the protests turned deadly condemning the continuing efforts by misguided individuals to hurt the religious feelings of Muslims as we condemn efforts to offend believers of all religions CNN s Belief Blog The faith angles behind the biggest stories Meanwhile the shadowy figures who produced and distributed Innocence of Muslims are imprisoned in some groupthink of their own which gathers all the world s Muslims under the category of an evil Islamic empire Their film doesn t just depict Mohammed as a con man philanderer and pedophile It portrays his followers as dupes Unfortunately the events of recent days have done nothing to jar the alleged producer out of this default setting When questioned about his film in the aftermath of the Libyan and Egyptian attacks a man identifying himself as Sam Bacile reportedly told the Wall Street Journal that Islam is a cancer You don t need a Kenyon college degree to see how this vicious cycle of provocation and violence is fueled and you don t need to be a moral relativist to see that it takes two sides to keep it running I am an American who is justly proud of the First Amendment and its protections of freedom of speech and religion And I believe that killing your opponents in the name of God or nation is a far greater offense than offending them with an ignorant movie Nonetheless the root problem on display here is in my view what Wallace denounced as blind certainty Our world is not divided first and foremost along religious or national lines Muslims and Christians and Hindus or Israelis and Americans and Egyptians Neither is it divided secularists and people of faith the New Atheists and partisans of old time religion The real red line in the modem world divides the certain from the uncertain And in the tragic events of recent days those who produced and distributed this hateful movie stand on the same side of this line as the killers of innocents in Libya and Egypt Both groups are possessed by the unholy spirit of blind certainty unacquainted with both the complexity and contradictions of life on Earth and the cloud of unknowing that hovers over every major religion The great religious thinkers in Judaism Christianity and Islam always knew enough to know that they did not know everything They knew the difference between the eternal decrees of the God of Abraham and the all too flawed thoughts of ordinary people They knew in short that they are not God who alone is charged with creating and destroying the world and discriminating along the way between the real and the illusory The killers in Libya have forgotten that So have the not so innocent producers and distributors of Innocence of Islam The opinions expressed in this commentary are solely those of Stephen Prothero U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER CNN s Belief Blog The faith angles behind the biggest stories Follow the CNN Belief flog on Twitter U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB
18,Fw: chris mission,See note below
19,FW: Quick Summary of POTUS Calls to Presidents of Libya and Egypt,FYI
20,FW: Wash Post: Hillary Clinton tries to calm at i-U S sentiment as protesters storm,embassy in Yemen
21,FW: Quick Summary of POTUS Calls to Presidents of Libya and Egypt,Pis print From state gov Sent PM To I I Subject FW Quick Summary of POTUS Calls to Presidents of Libya and Egypt FYI
22,FW: Condolences from PM Netanyahu,FYI
23,Fw: SITUATION REPORT No 1 09/14/1 (SBU),I m giving you credit for inspiring the peaceful protests
24,You do great work - thanks for making our heros have the homecoming they deserved.,U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB
25,Fw: Libyan,Fyi
26,Fw: Benhazi/protest statements,Pis print
27,Re: Libyan,Both Gates and I said the same on the shows
28,Fav: Pretty powerful piece on standing up for diplomats,Fyi
29,Re: Libyan,My lYi was referring to the Libyan The arming the rebels breathlessness is silly
30,H: Romney's last gambit. Got done and published. Sid,http www salon comi o o or gops october surprisei Oct AM EDT GOP s surprise They re calling it the Jimmy Carter Strategy Exploit Libya attack to paint Obama as weak on terrorism By cY aia Credit AP AI Behrman Salort According to a highly reliable source as Mitt Romney and President Barack Obama prepare for the first presidential debate night top Republican operatives are primed to unleash a new two pronged offensive that will attack Obama as weak on national security and will be based in part on inW ia en y iTeForrnation regarding the attacks in Libya that killed U S ambassador Chris on The source who has first hand knowledge of private high level conversations in the Romney tamp that took place in Washington DC last week said that at various times the GOP strategists referred to their new operation as the Jimmy Carter Strategy or the Surprise He added that they planned to release what they hoped would be a bombshell that would make Libya and Obama s foreign policy a major issue in the campaign My understanding is that they have come up with evidence that the Obama administration had positive intelligence that there was going to be a terrorist attack on the intelligence The source described the Republicans as chortling with glee that the Obama administration definitely had intel about the attack before it happened Intelligence can be graded in different ways he added and sometimes A and B don t get connected But the Romney campaign will try to paint it to look like Obama had advance knowledge of the attack and is weak on terrorism He said they were jubilant about their new strategy and said they intended to portray Obama as a helpless Jimmy Carter like president and to equate the tragedy in Libya with President Carter s failed attempt to rescue American hostages in Iran in t They are so excited about it he said Over and over again they talked about bow it would be just like Jimmy Carter s failed raid They feel it is going to give them a last minute landslide in the election The source however said lie was dubious about the tactic To me it is indicative that they have lost touch with a huge portion of the electorate he said The source declined to reveal the names of the GOP operatives who were present But he said These were the top guys in the party It was a private unguarded planning conversation He further U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER described participants in the meeting as consisting of well known names tied to the big Republican super PACs and people who had access to high level national security intelligence As usual Karl Rove wasn t present he said but some were close to Rove The source said that there was quite a bit more to the operation than simply revealing the intelligence regarding Libya He declined to discuss what he described as the second phase of the operation However already there is evidence that the first phase of the operation is underway On on Fox News Karl Rove called Obama s reaction to what happened in Libya inexplicable and added that Obama is more intent on campaigning than meeting his responsibilities as commander in chief He went on to warn that Obama s policies in Libya endangered the U S with regard to Iran I am astonished Rove said We are projecting weakness when we need to be projecting strength Similarly former New York Mayor Rudolph Giuliani a one time GOP presidential hopeful who became known as the mayor of followed Rove in criticizing Obama on the attack in Libya This is a deliberate attempt to cover up the truth from an administration that claimed it wanted to be the most transparent in history he told Fox News And it s the worst kind of cover up the kind of cover up that involves our national security This is a cover up that involves the slaughter of four Americans Giuliani added that the Obama White House wanted to dismiss the role played by al Qaeda because it seemed to diminish the triumph of having killed Osama bin Laden I think it s because they have this narrative that they defeated al Qaeda he said They never say the words Islamic fundamentalist terrorism They want to wish it away The president was moving on to Asia he was going to declare this a great victory for himself and unfortunately this terrible act of terror intervened in their very convenient narrative Likewise Bob Corker Republican senator from Tennessee described the administration s response to the terrorist attack in Libya as And on both Mitt Romney and vice presidential nominee Ryan joined in the attacks I think they want to do their very best to keep the people of America from understanding exactly what happened We expect candor we expect transparency particularly as it relates to terrorism Romney said Added Ryan Why is he Obama not on the same page with his own administration officials who are saying that this is a terrorist attack We ll leave it up to you to decide whether it s a cover up or not In an apparently related development a Politico artkle posted last night said Romney advisers were divided over hovv aggressively to attack President Obama over his handling of the events in Libya One unnamed Romney adviser described them as a huge gift to the campaign Across the board domestic economic and foreign policy issues President Obama has been outmatched by events he said He s an observer of events not a shaper of events Everywhere you look he s been outmatched But other Romney advisers led by media strategist wanted to stick to the economy as the central issue They ll tell you that you ve got to focus people on the fact that their economic prospects are not very good and all that the aide told Politico Well Romney s been trying to do that now since he clinched the nomination at the end of and he s failed The president is better at deflecting attention from the bad news than Romney is at driving home the impact of the bad news on individual voters Craig Unger is the New York Times bestselling author of House of Bush House of Saud and a frequent analyst on CNN ABC Radio Air America The Charlie Rose Show NBC s Today Show and other broadcast outlets He has written for The New Yorker Esquire and many other publications and is currently a contributing editor at Vanity Fair U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB
31,Re. Libyan,Pis let me know what Phil finds out asap Thx
32,H: Romney's last gambit. Got done and published. Sid,B
33,You do great work - thanks for making our hems have the homecoming they deserved.,deserved By leadership let me be dear meant the of you especially our Secretary lovely speech
34,gorgeous plc on the front page of the NYTI,One for the wall For what it s worth I am VERY dubious about arming the Libyan rebels Our best bet is to keep pressure on BOTH sides to force a diplo solution Aryls U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB
35,Re: H: Romney's last gambit. Got done and published_ Sid,Romney has an op ed in today s Wall Street Journal playing off murder to say Obama has put security at risk etc According to Politico yesterday there was an internal argument within the Romney campaign over Libya Obviously the neocons and the Rove oriented faction Ed Gillespie Rove s surrogate is now a Romney campaign adviser beat Romney is careening from tactic to tactic hoping something will catch I wouldn t be surprised to see Romney raise the specter of the Muslim Brotherhood in charge of Egypt Libya as a bogeyman I have heard him do this within the last week
36,Thanks,Your remarks this afternoon at Andrews were wonderful Thanks for doing so much for our institution on such a sad day Just sent you a hi side note on visits taJordan and Iraq and look forward to catching up Enjoy the weekend in the meantime Bill U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB
37,Fw: H: Romney's last gambit Got done and published. Sid,More info From Sent PM To H Subject Re Romney s last gambit Got done arid published Sid Romney has an op ed in today s Wall Street Journal playing off murder to say Obama has put security at risk etc According to Politico yesterday there was an internal argument within the Romney campaign over Libya Obviously the neocons and the Rove oriented faction Ed Gillespie Rove s surrogate is now a Romney campaign adviser beat Romney is careening from tactic to tactic hoping something will catch I wouldn t be surprised to see Romney raise the specter of the Muslim Brotherhood in charge of Egypt Libya as a bogeyman I have heard him do this within the last week B
38,RE: H: Romney's last gambit. Got done and published. Sid,This is it Pretty uncompelling piece if you ask me but of course I m biased Mitt Romney A New Course for the Middle East Restore the three sinews of American influence our economic strength our military strength and the strength of our values Disturbing developments are sweeping across the greater Middle East In Syria tens of thousands of innocent people have been slaughtered In Egypt the Muslim Brotherhood has come to power and the country s peace treaty with Israel hangs In the balance In Libya our ambassador was murdered In a terrorist attack U S embassies throughout the region have been stormed in violent protests And in Iran the ayatollahs continue to move full tilt toward nuclear weapons capability all the while promising to annihilate Israel These developments are not as President Obama says mere bumps in the road They are major issues that put our security at risk Yet amid this upheaval our country seems to be at the mercy of events rather than shaping them We re not moving them in a direction that protects our people or our allies And that s dangerous If the Middle East descends chaos if Iran moves toward nuclear breakout or if Israel s security is compromised America could be pulled the maelstrom We still have time to address these threats but it will require a new strategy toward the Middle East The first step is to understand how we got here Since World War II America has been the leader of the Free World We re unique in having earned that role not through conquest but through promoting human rights free markets and the rule of law We ally ourselves with like minded countries expand prosperity through trade and keep the peace by maintaining a military second to none But in recent years President Obama has allowed our leadership to atrophy Our economy is stuck in a recovery that barely deserves the name Our national debt has risen to record levels Our military tested by a decade of war is facing devastating cuts thanks to the budgetary games played by the White House Finally our values have been misapplied and misunderstood by a president who thinks that weakness will win favor with our adversaries By failing to maintain the elements of our influence and by stepping away from our allies President Obama has heightened the prospect of conflict and instability He does not understand that an American policy that lacks resolve can provoke aggression and encourage disorder The Middle East is a case in point The Arab Spring presented an opportunity to help move millions of people from oppression to freedom But it also presented grave risks We needed a strategy for success but the president offered none And now he seeks to downplay the significance of the calamities of the past few weeks The same incomprehension afflicts the president s policy toward Israel The president began his term with the explicit policy of creating daylight between our two countries He recently downgraded Israel from being our closest ally in the Middle East to being only one of our closest allies It s a diplomatic message that will be received clearly by Israel and its adversaries alike He dismissed Israel s concerns about Iran as mere noise that he prefers to block out And at a time when Israel needs America to stand with it he declined to meet with Prime Minister Benjamin Netanyahu In this period of uncertainty we need to apply a coherent strategy of supporting our partners in the Middle East that is both governments and individuals who share our values This means restoring our credibility with Iran When we say an Iranian nuclear weapons capability and the regional instability that comes with it is unacceptable the ayatollahs must be made to believe us It means placing no daylight between the United States and Israel And it means using the full spectrum of our soft power to encourage liberty and opportunity for those who have for too long known only corruption and oppression The dignity of work and the ability to steer the course of their lives are the best alternatives to extremism But this Middle East policy will be undermined unless we restore the three sinews of our influence our economic strength our military strength and the strength Of our values That will require a very different set of policies from those President Obama is pursuing U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER The th century became an American Century because we were steadfast in defense of freedom We made the painful sacrifices necessary to defeat totalitarianism In all of Its guises To defend ourselves and our allies we paid the price in treasure and in soldiers who never came home Our challenges are different now but if the st century is to be another American Century we need leaders who understand that keeping the peace requires American strength in all of its dimensions Mr Romney is the Republican Pady candidate for president A version of this article appeared on page A in the U S edition of The WallStreet Journal with the headline A New course for the Middle East
39,Statement by the Press Secretary,FYI should take care of the job Prom Rhodes Benjamin Sent PM To Subject FIN Statement by the Press Secretary B
40,Re: gorgeous pie on the front page of the NYTI,STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER RELEASE IN PART B Anne Marie AM RE gorgeous pie on the front page of the NWT Bic sending more arms a society generally particularly when they are as disorganized and fragmented as they are will result in more violence against each other Boys like to play with guns trust me as the mother of sons I am all for saying we have no objection to French doing it to increase pressure on Gaddafi but in a tribal society where conflicts have been repressed for so long adding even more weapons does not make sense Obviously they can get weapons from other places but nb that they are not awash in weapons now I wrote something for New York Review of Books this week that builds on my farewell remarks and I think you will like it will send it to you for weekend reading
41,Fw: Daily Beast: A diplomat under fire.,From PA Clips mailtoTaclips state govl Sent AM To PA Monitoring Group DI NEA Press DL DS PA Media Shore Rhonda H Atchison Mark C Moe Grace T Coordination D Tow F PG Subject Daily Beast A diplomat under fire Person of Interest United States UN Ambassador Oct iloo AM EDT Leslie H Gelb A diplomat under fire With the presidential campaign drowning in boredom commentators were desperately searching for news preferably a new victim to brighten their days And along came A couple Sundays ago the U N ambassador made the mistake of appearing on the talk shows to insist that the attack on the U S consulate in Benghazi Libya was spontaneous rather than a terrorist plot You would have thought she had said that the pope was a Mormon Out came the Washington daggers She lied She was a shill Benghazi was no spontaneous event It was the work of an al Qaeda offshoot The White House had fumbled key intelligence information and was now trying to cover up its unforgivable mistake was just covering up for the president Her reward would be Obama s nominating her to succeed Hillary Clinton as secretary of State The commentariat immediately rolled out plans to nail and the Obama team to the wall Peter King the Grand Inquisitor of the Republicans in the House of Representatives pledged to investigate and hold hearings And that said the commentariat would be the end of s hopes to become the new Hillary U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER Now let s take an unfashionable step back and examine the facts such as they are did not make up the spontaneous story or have it handed to her by White House conspirators She got it from the same daily intelligence brief given to the president Those daily intel reports told the very story repeated publicly i e that the Benghazi mob formed more or less on its own mainly in reaction to the American video cartooning sacred Muslim figures and that extremists then took advantage to kill including Ambassador didn t make up that story The problem was not with it was with the inevitably complicated U S intelligence process Her mistake was taking the initial intelligence at face value The White House biiefers made the same error and so did I I too repeated in an op ed on The Daily Beast what the intelligence briefers told me but I knew very well that more and contradictory information would appear soon enough It always does Sure the CIA had additional intel from the start but it hadn t begun to sift through all the communications intercepts satellite photos and human reports It always takes time to sort out facts from fictions and find consistent threads Seemingly this gossamer information is now taking shape Meantime is still very much in the running for the job at Fogg Bottom along with Senator Kerry NSC Adviser Tom and former diplomat Nicholas now of Harvard She was Obama s earliest loyalist in the foreign policy crowd and he still likes her despite lackluster reports on her performance at the U N The smears though flatly inaccurate won t help her either What will help her and more importantly a flagging Obama after the first debate is hunting down the Benghazi culprits U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB
42,Re: Brits and Libya,When is Chris going
43,Re: Brits and Libya,Was supposed to go today Will check
44,Mission to Benghazi,Fyi
45,"Fw: H: Great to see you. Drop in again. Here's Libya, Sid",Pis print
46,Re: PDB,A pouch with all of your call sheets and the schedule in en route to you Here it is below as well Also in the pouch are a few read items and an action memo authorizing the War Powers resolution for Tunisia that the office would like you to approve today Ops can send a courier over to pick up the action memo later today UK FM Hague Egyptian FM Amr Israeli PM Netanyahu French FM Fabius Saudi FM Saud al Faisal Somali Former Transitional President Sherif Libyan PM elect Abu Shakour Turkish FM Davutoglu Somali President Mohamoud T Moroccan King is still pending NEW CALL King Juan Carlos of Spain called today and offered anytime today or tomorrow His office relayed that it is a personal call inquiring after the status of the Embassies in the Middle East We are working on a call sheet
47,EXCLUSIVE: Bill Clinton Says He Wouldn't Rule Out Arming Uhya's Rebels,Prom ToIv mato Sent Sun ay PM To ateryl D Subject EXCLUSIVE Bill Clinton Says He Wouldn t Rule Out Arming Uhya s Rebels EXCLUSIVE Bill Clinton Says He Wouldn t Rule Out Arming Libya s Rebels Pm Just Speaking For Myself Former President Says By SUZAN CLARICE Former U S President Bill Clinton said he thinks the United States should consider arming the rebels in Libya s civil war It would depend and I might need to know a little more but I would be inclined to do it Clinton told correspondent Bianna Golodryga today in San Diego during an exclusive interview with ABC News Clinton was in San Diego for his annual Clinton Initiative University Meeting The uprising in Libya stared in during a wave of social and political unrest in the Middle East Fighting has escalated all across the country but the rebels have found themselves outgunned by Libyan leader Col Moamrnar Gadhafi s forces which are better equipped Last month the United Nations authorized a no fly zone over the North African nation to prevent further attacks on civilians from Gadhafiss troops in the air Clinton on Arming Rebels I Sure Wouldn t Shut the Door to It The United States backed the no fly zone and has also authorized additional support for the anti Gad hafi fighters but key U S lawmakers and top officials in the government of President Barack Obanaa have said they are not comfortable with arming the rebels apparently because not enough is known about then But Clinton said he wouldn t completely rule out the idea of supplying arms to Libya s rebels U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER Let me just say this I sure wouldn t shut the door to it I think we may need to know a little more he said Clinton husband of Secretary of State Hillary Clinton stressed that he was speaking without any official sanction whatsoever I m just speaking from myself But I certainly wouldn t take that off the table too he said Watch More of Interview With Bill Clinton on Good Morning America Gadhafi is the focus of an investigation by the International Criminal Court in the Hague Watch Good Morning America i TOW for the full interview and hear Clinton speak about his summit the looming government shutdown and the controversy over President Obama s birth certificate Copyright ABC News Internet Ventures U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB
48,Fw: H: Great to see you. Drop in again. Here's Libya. Sid,Useful insight Pls circulate
49,FW: Item,J
50,RE: Itenghazi and NATO,FYI Jeff and I discussed and I fully agree that a NATO liaison is a good idea Prom Feibran D Sent PM To Daaider Ivo H Gene A Polaschlk Joan A H Roebuck V Keene Matt E Dibble Elizabeth L CC Schikher Ronald L Sanderson Janet A Djerassi Alexander M Heffern A Degnan Kelly C Subject RE Itenghazi and NATO Ivo thanks for the helpful response From NEA s perspective an operational liaison with the TNC does not constitute formal legal recognition of the INC as the government of Libya We don t consider Chris presence in Benghazi to trigger formal recognition and we ve never broken relations with Libya despite suspending our embassy operations Without question having a NATO liaison in Benghazi would have the appearance of NATO leaning in the direction of the INC But NATO s operations already show a considerable lean away from Qadhati Speaking for NEA I don t mind the appearance But the real purpose would be to avoid friendly fire incidents of course Cheers Jeff Fettman Assistant Secretary Bureau of Near Eastern Department of State
51,H: Great to see you. Drop in again. Here's Libya. Ski,Postelection we d like to have you over for dinner Bill can come too if he s in town Whatever works
52,Fw; Saudi Grand Mufti calls attacks on foreign embassies tin Islamic (Reuters),I thanked Prince Saud
53,Fw: The Cable: Romney to compare Benghazi to original 9/11 attacks,
54,Condolences,Hillary I just want to offer my personal condolences over the loss of four fine foreign service officers The Ambassador was a perfect role model of the kind of person we need representing us around the world and the others had so much to give and already had given so much I know it has been a hard week for you and I wanted simply to express my sympathy and tell you I was thinking of you Bob Gates U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB
55,Re: The Cable: Romney to compare Benghazi to original 9/11 attacks,Can you call me
56,H: UK game playing; new rebel strategists; Egypt moves in Sid,H hrod clintonernail com PM sullivanjj state govi Fvv H UK game playing new rebel strategists Egypt moves in Sid hit memo UK games new rebel strategists Egypt moves docx Fyi B
